City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
296,salalah,40,OM,1612722384,68,17.0151,54.0924,73.4,3.44
297,loukhi,57,RU,1612722384,93,66.0764,33.0381,0.82,4.54
298,provost,10,CA,1612722384,76,52.3501,-110.2683,-20.2,2.3
299,rocha,20,UY,1612722384,55,-34.4833,-54.3333,80.15,9.48
300,lanzhou,7,CN,1612722385,40,36.0564,103.7922,30.99,1.23
301,khailar,0,IN,1612722385,41,25.35,78.5333,55.63,1.95
302,turukhansk,100,RU,1612722385,94,65.8167,87.9833,5.31,17.27
303,honiara,92,SB,1612722385,81,-9.4333,159.95,77.86,4.16
304,sao joao da barra,90,BR,1612722386,94,-21.6403,-41.0511,73.4,6.91
305,broken hill,0,AU,1612722250,48,-31.95,141.4333,62.6,8.05
306,eyl,2,SO,1612722386,79,7.9803,49.8164,76.14,18.03
307,kodiak,1,US,1612722237,68,57.79,-152.4072,26.6,4.61
308,santa cruz,75,BO,1612722197,49,-17.8,-63.1667,91.4,11.5
309,batemans bay,93,AU,1612722387,76,-35.7167,150.1833,62.01,1.99
310,zhigansk,79,RU,1612722387,80,66.7697,123.3711,-31.11,11.39
311,pandan,79,PH,1612722387,82,14.0453,124.1694,79.36,16.49
312,cuamba,86,MZ,1612722387,90,-14.8031,36.5372,72.79,2.86
313,lima,75,PE,1612722233,69,-12.0432,-77.0282,77,9.22
314,strathmore,90,CA,1612722388,76,51.0501,-113.3852,-9.99,5.75
315,safakulevo,0,RU,1612722388,89,54.9901,62.5442,-2.36,10.36
316,novikovo,12,RU,1612722388,91,51.1537,37.8879,3.07,8.52
317,kitimat,99,CA,1612722172,74,54.0524,-128.6534,27,4.29
318,tiznit,36,MA,1612722103,73,29.5833,-9.5,52.72,12.26
319,anloga,20,GH,1612722389,79,5.7947,0.8973,86,12.66
320,pacific grove,1,US,1612722389,76,36.6177,-121.9166,55.99,3.44
321,la libertad,0,EC,1612722390,74,-2.2333,-80.9,82.4,6.91
322,quatre cocos,75,MU,1612722390,74,-20.2078,57.7625,80.6,6.91
